question,answers,page,link
"What should I do if I develop a fever or temperature, or both, when I am pregnant?","If you develop a temperature or a cough, or both, in pregnancy, you can use the NHS 111 or NHS 24 website to obtain advice about isolation, which you should follow in line with current regulations. However, please also be alert to the other possible causes of fever in pregnancy. In particular, these include urine infections (cystitis) and waters breaking. If you have any burning or discomfort when passing urine, or any unusual vaginal discharge, or have any concerns about your baby’s movements, contact your maternity provider, who will be able to provide further advice.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
What impact will corona virus have on my pregnancy?,"The NHS is making arrangements to ensure that women are supported and cared for safely through pregnancy, birth and the period afterwards during this pandemic when there will be extra pressures on healthcare services.

Maternity services are absolutely essential and the RCOG is helping units to plan have to staff obstetrics and gynaecology services, to ensure safe care is provided. This includes reducing staff commitments outside maternity units, reducing any non-essential work within Trusts and re-organising staffing in obstetrics and gynaecology services.

Maternity units are increasingly providing consultations on the phone or by video link, when this is appropriate, so you do not have to travel unnecessarily to the hospital. However, some in person visits with a midwife are essential and it is important for the wellbeing of you and your baby that you attend these to have routine checks.

Routine gynaecology operations are being postponed and, in many units, arrangements are being made for gynaecology doctors to work in the maternity unit.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Will my childbirth choices be affected by the coronavirus pandemic?,"We understand this must be a stressful and anxious time if you are pregnant and due to give birth in the coming months. Maternity units everywhere are working around the clock right now to manage additional pressures and facilitate women’s choices.

Like all areas of NHS care, maternity services will be affected by the pandemic but units are working to ensure services are provided in a way that is safe, with the levels of staff that are needed and the ability to provide emergency care where necessary.

If you have chosen to give birth at home or in a midwife-led unit that is not co-located with an obstetric unit, it is worth noting that these services rely on the availability of ambulance services to allow for rapid transfer to hospital, and the right number of staff to keep you safe. If these are not in place, it is possible that your Trust or Board may not be able to provide these services.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Will I be able to have my birth partner with me during labour and birth?,"Yes, you should be encouraged to have a birth partner present with you during labour and birth. Having a trusted birth partner present throughout labour is known to make a significant difference to the safety and well-being of women in childbirth.

If your birth partner has symptoms of coronavirus, they will not be allowed to go into the maternity suite, to safeguard the health of the woman and the maternity staff supporting you

Local Trusts may place restrictions on visitors which might mean that partners are not able to attend routine antenatal appointments, or stay with women on antenatal or postnatal wards. However, this should not impact on your birth partner’s presence during your labour and the birth, unless they are unwell.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Will I be able to have my birth partner with me if I am being induced?,"A birth partner without symptoms should be able to attend your induction of labour where that is in a single room (e.g. on the Labour Ward) but not if the induction takes place in a bay on a main ward, as it would not be possible to achieve the necessary social distancing measures.

We understand this must be a very worrying and anxious time if you are pregnant and your partner can’t be with you while you are being induced, however it is essential that we limit the number of visitors to hospitals during this time.

This guidance is in place to protect other pregnant women and babies, and birth partners themselves. Please be assured that if your partner is unable to be with you on a ward during your induction, this will not impact on your birth partner’s presence during labour and the birth, unless they are unwell. At the point you go into active labour, you will be moved to your own room and your birth partner will be able to join you.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Will my birth partner be able to stay with me if I have a caesarean or instrumental birth that occurs in an operating theatre?,"We fully support women having their birth partners with them during labour and the birth, unless they are unwell, when an alternative birth partner can attend. Around one in four women in the UK has a caesarean birth. A caesarean may be recommended as a planned (elective) procedure, for medical reasons, or as an emergency, for example if doctors and midwives are concerned that your baby is not coping with labour and needs to be born immediately. Furthermore, around one in five women in the UK has an instrumental birth; some of these may also be recommended to occur in an operating theatre in order to allow the team to modify plans and undertake a caesarean birth if necessary.

Most caesareans and instrumental births in theatre are carried out under spinal or epidural anaesthetic, which means you’ll be awake, but the lower part of your body is numb and you cannot feel any pain. In this situation, everything will be done by the clinical staff – midwives, obstetricians and anaesthetists – to keep your birth partner with you.

Due to the coronavirus pandemic, staff in the operating theatre will be wearing enhanced personal protective equipment (PPE) to prevent the spread of infection, which will make it more difficult for them to communicate. To enable the clinicians to assist in the birth of your baby safely, it’s really important your birth partner follows the instructions from the maternity team carefully and quickly.

Occasionally, a general anaesthetic (where you’re put to sleep) may be used, particularly if your baby needs to be born urgently. During this type of caesarean birth, even under more routine circumstances, for safety reasons it is not recommended for the birth partner to be present during the birth.

While the maternity team will do all they can to ensure that your partner is present for the birth, there will be some occasions when there is a need for an urgent emergency birth with epidural or spinal anaesthetic, and it is not possible for your partner to be present. This is because during an emergency operating theatres are more high risk environments in terms of potential spread of coronavirus to everyone who is present.

If it is the case that your partner will not be able to be present during the birth, your maternity team will explain this to you and will do everything they can to ensure that your partner can see you and your baby as soon as possible after the birth.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Is there any advice for birth partners during the corona virus pandemic?,"We are asking you to follow the guidance below to keep yourself, your family, other families and our staff as safe as possible during the pandemic.
During the coronavirus pandemic, all hospitals are restricting visitors but there are exceptions for a birthing partner during active labour and birth.
Every woman should be able to have one birth partner stay with her through labour and birth, unless the birth occurs under a general anaesthetic.
To help prevent spread of coronavirus to other mothers, their babies, and to key front-line healthcare staff, it is very important that you do not attend the maternity unit if you have any symptoms of coronavirus or have had any in the previous 7 days
If you are unwell, protect your family and our NHS staff and stay at home. To prepare for this, women and their partners are being encouraged to think about an alternative birth partner, if required
If you are supporting a woman during labour and birth, please be aware of the strict infection control procedures in place to prevent the spread of coronavirus to pregnant women and their babies, as well as other vulnerable people within the hospital and the maternity staff.
Please wash your hands regularly with soap and water and use hand sanitiser gel in clinical areas as available
If you cough or sneeze, please cover your mouth with a tissue and dispose of this in a bin immediately,
Stay in the labour room with your partner. Do not move (/walk) around the Labour Ward unaccompanied – use the call bell if you require assistance.
If you are asked to a wear a mask or any personal protective equipment (PPE) during the labour or birth, it is very important so please follow the instructions carefully, and to take it off before you leave the clinical area.
If you are accompanying a woman to her caesarean birth, please be aware that operating theatre staff will be wearing PPE and it may be more difficult for them to communicate with you:
A staff member will be allocated to support you; please carefully follow their instructions and approach them if you have any questions.
To enable the clinical staff to do their job, it is very important that you do not move around the operating theatre as you risk de-sterilising sterile areas and spreading the virus.
The maternity team will do everything they can to enable you to be present for the birth. However, if there is a particular safety concern, they may ask that you are not present in the operating theatre. If this is the case, the team should discuss this with you and explain their reasons unless it is an emergency.
We understand this is a stressful and anxious time for pregnant women and their partners and we thank you for your cooperation during this time
Please be assured that all of the maternity team staff will do all we can to provide information, guidance and support to you and your partner.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
 How will I be tested for corona virus?,"The process for diagnosing coronavirus infection is changing rapidly. At the current time, only people with severe symptoms who need at least overnight admission to hospital will be tested.

If you do require a test, you will be tested in the same way as anyone else, regardless of the fact that you are pregnant. Currently, the test involves swabs being taken from your mouth and nose. You may also be asked to cough up sputum, a mixture of saliva and mucus.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
What should I do if I test positive for coronavirus?,"If you test positive for coronavirus, you should contact your midwife or antenatal team to make them aware of your diagnosis. If you have no symptoms, or mild symptoms, you will be advised to recover at home. If you have more severe symptoms, you might be treated in hospital.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Why would I be asked to self-isolate (as opposed to reducing social contact)?,"You may be advised to self-isolate because:

You have symptoms of coronavirus, such as a high temperature or new, continuous cough
You have tested positive for coronavirus and you’ve been advised to recover at home",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
What should I do if I’m asked to self-isolate?,"Pregnant women who have been advised to self-isolate should stay indoors and avoid contact with others for 7 days. If you live with other people, they should stay at home for at least 14 days, to avoid spreading the infection outside the home.

The NHS guidance on self-isolation currently recommends people should:

Not go to school, work, NHS settings or public areas
Not use public transport
Stay at home and not allow visitors
Ventilate the rooms where they are by opening a window
Separate themselves from other members of their household as far as possible, using their own towels, crockery and utensils and eating at different times
Use friends, family or delivery services to run errands, but advise them to leave items outside.
You may wish to consider online fitness routines to keep active, such as pregnancy yoga or Pilates.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
How will my care be managed after I have recovered from coronavirus?,"If you have confirmed coronavirus infection, as a precautionary approach, an ultrasound scan will be arranged at least two weeks after your recovery, to check that your baby is well.

If you have recovered from coronavirus and tested negative for the virus before you go into labour, where and how you give birth will not be affected by your previous illness. Visitor numbers may be restricted to promote recommended social distancing but your birth partner will be able to be with you, provided they are not unwell.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
What do I do if I feel unwell or I’m worried about my baby during self-isolation?,"Pregnant women who are self-isolating are advised not to attend maternity units or A&E unless in need of urgent pregnancy or medical care.

If you have concerns about the wellbeing of yourself or your unborn baby during your self-isolation period, contact your midwife or, out-of-hours, your maternity team. They will provide further advice, including whether you need to attend hospital.

If you are advised to go to the maternity unit or hospital, pregnant women are asked to travel by private transport, or arrange hospital transport, and alert the maternity unit reception once on the premises, before going into the hospital.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Will being in self-isolation for suspected or confirmed corona virus affect where I give birth?,"As a precautionary approach, pregnant women with suspected or confirmed coronavirus when they go into labour, are being advised to go to obstetric unit for birth, where the baby can be monitored using continuous electronic fetal monitoring, and your oxygen levels can be monitored hourly.

The continuous fetal monitoring is to check how your baby is coping with labour. As continuous fetal monitoring can only take place in an obstetric unit, where doctors and midwives are present, it is not currently recommended that you give birth at home or in a midwife led unit, where there would not be doctor present and where this monitoring would not be possible.

We will keep this advice continually updated as new evidence emerges. Maternity units everywhere are working around the clock right now to manage additional pressures and facilitate women’s choices to the best of their abilities.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Will being in self-isolation for suspected or confirmed coronavirus affect how I give birth?,"There is currently no evidence to suggest you cannot give birth vaginally or that you would be safer having a caesarean birth if you have suspected or confirmed coronavirus, so your birth choices should be respected and followed as closely as possible based on your wishes.

However, if your breathing (respiratory condition) suggests that your baby needs to be born urgently, a caesarean birth may be recommended.

It is not recommended that you give birth in a birthing pool in hospital if you have suspected or confirmed coronavirus, as the virus can sometimes be found in faeces. This means it could contaminate the water, causing infection to pass to the baby. It may also be more difficult for healthcare staff to use adequate protection equipment during a water birth.

There is no evidence that women with suspected or confirmed coronavirus cannot have an epidural or a spinal block. In our previous version of the guidance it was suggested that the use of Entonox (gas and air) may increase aerosolisation and spread of the virus, but a review of the evidence suggests there is no evidence that Entonox is an aerosol-prone procedure, so there is no reason you cannot use this in labour.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
What happens if I go into labour during my self-isolation period?,"If you go into labour, you should call your maternity unit for advice, and inform them that you have suspected or confirmed coronavirus infection.

If you have mild symptoms, you will be encouraged to remain at home (self-isolating) in early labour, as usual.

Your maternity team have been advised on ways to ensure that you and your baby receive safe, quality care, respecting your birth choices as closely as possible.

When you and your maternity team decide you need to attend the maternity unit, general recommendations about hospital attendance will apply:

You will be advised to attend hospital via private transport where possible, or call 111/999 for advice, as appropriate
You will be met at the maternity unit entrance and provided with a surgical face mask, which will need to stay on until you are isolated in a suitable room
Coronavirus testing will be arranged
Your birth partner(s) will be able to stay with you throughout, but visitors should be kept to a minimum",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Could I pass corona virus to my baby?,"As this is a new virus, there is limited evidence about caring for women with coronavirus infection in women when they have just given birth. A small number of babies have been diagnosed with coronavirus shortly after birth, so there is a chance that infection may have occurred in the womb, but it is not certain whether transmission was before or soon after birth. Your maternity team will maintain strict infection control measures at the time of your birth and closely monitor your baby.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Will my baby be tested for coronavirus?,"If you have confirmed or suspected coronavirus when the baby is born, doctors who specialise in the care of newborn babies (neonatal doctors) will examine your baby and advise you about their care, including whether they need testing.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
What is corona virus ? ,"A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19), is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold.

A diagnosis with coronavirus 229E, NL63, OC43, or HKU1 is not the same as a COVID-19 diagnosis. Patients with COVID-19 will be evaluated and cared for differently than patients with a common coronavirus diagnosis.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
"Why is this disease being called corona virus disease 2019, covid-19 ?","On February 11, 2020 the World Health Organization announced an official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan, China. The name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”.

There are many types of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused by a novel (or new) coronavirus that has not previously been seen in humans. The name of this disease was selected following the World Health Organization (WHO) best practicesexternal icon for naming new human infectious diseases.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Why might someone blame or avoid individuals and groups (create stigma) because of covid-19 ?,"People in the U.S. may be worried or anxious about friends and relatives who are living in or visiting areas where COVID-19 is spreading. Some people are worried about getting the disease from these people. Fear and anxiety can lead to social stigma, for example, toward people who live in certain parts of the world, people who have traveled internationally, people who were in quarantine, or healthcare professionals.

Stigma is discrimination against an identifiable group of people, a place, or a nation. Stigma is associated with a lack of knowledge about how COVID-19 spreads, a need to blame someone, fears about disease and death, and gossip that spreads rumors and myths.

Stigma hurts everyone by creating more fear or anger toward ordinary people instead of focusing on the disease that is causing the problem.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
How can people help stop stigma related to covid-19 ? ,People can fight stigma by providing social support in situations where you notice this is occurring. Stigma affects the emotional or mental health of stigmatized groups and the communities they live in. Stopping stigma is important to making communities and community members resilient. See resources on mental health and coping during COVID-19. Everyone can help stop stigma related to COVID-19 by knowing the facts and sharing them with others in your community.,USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
What is source of corona virus ? ,"COVID-19 is caused by a coronavirus called SARS-CoV-2. Coronaviruses are a large family of viruses that are common in people and may different species of animals, including camels, cattle, cats, and bats.  Rarely, animal coronaviruses can infect people and then spread between people. This occurred with MERS-CoV and SARS-CoV, and now with the virus that causes COVID-19. More information about the source and spread of COVID-19 is available on the Situation Summary: Source and Spread of the Virus.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
How does corona virus spread ? ,"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs or sneezes. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another (within about 6 feet).

COVID-19 seems to be spreading easily and sustainably in the community (“community spread”) in many affected geographic areas. Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Why are we seeing rise in cases ?,The number of cases of COVID-19 being reported in the United States is rising due to increased laboratory testing and reporting across the country. The growing number of cases in part reflects the rapid spread of COVID-19 as many U.S. states and territories experience community spread. More detailed and accurate data will allow us to better understand and track the size and scope of the outbreak and strengthen prevention and response efforts.,USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Can someone who has covid-19 spread the illness to others ? ,"The virus that causes COVID-19 is spreading from person-to-person. People are thought to be most contagious when they are symptomatic (the sickest). That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others. More recently the virus has also been detected in asymptomatic persons.

How long someone is actively sick can vary so the decision on when to release someone from isolation is made using a test-based or non-test-based strategy (i.e. time since illness started and time since recovery) in consultation with state and local public health officials. The decision involves considering the specifics of each situation, including disease severity, illness signs and symptoms, and the results of laboratory testing for that patient.

Learn more about CDC’s guidance on when to release someone from isolation and discharge hospitalized patients with COVID-19. For information on when someone who has been sick with COVID-19 is able to stop home isolation see Interim Guidance for Discontinuation of In-Home Isolation for Patients with COVID-19.

Someone who has been released from isolation is not considered to pose a risk of infection to others.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
"Can the corona virus can be spread through food, including restaurant take out, refrigerated or frozen packaged food ?","Coronaviruses are generally thought to be spread from person to person through respiratory droplets. Currently, there is no evidence to support transmission of COVID-19 associated with food. Before preparing or eating food it is important to always wash your hands with soap and water for at least 20 seconds for general food safety. Throughout the day use a tissue to cover your coughing or sneezing, and wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.

It may be possible that a person can get COVID-19 by touching a surface or object, like a packaging container, that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.

In general, because of poor survivability of these coronaviruses on surfaces, there is likely very low risk of spread from food products or packaging.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Can I get sick with covid-19 if its on food ? ,"Based on information about this novel coronavirus thus far, it seems unlikely that COVID-19 can be transmitted through food – additional investigation is needed.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Will warm weather stop the outbreak of covid-19 ? ,"It is not yet known whether weather and temperature affect the spread of COVID-19. Some other viruses, like those that cause the common cold and flu, spread more during cold weather months but that does not mean it is impossible to become sick with these viruses during other months.  There is much more to learn about the transmissibility, severity, and other features associated with COVID-19 and investigations are ongoing.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
What is community spread ? ,"Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
What temperature kills the virus that causes covid-19 ?,"Generally coronaviruses survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments. However, we don’t have direct data for this virus, nor do we have direct data for a temperature-based cutoff for inactivation at this point. The necessary temperature would also be based on the materials of the surface, the environment, etc. Regardless of temperature please follow CDC’s guidance for cleaning and disinfection.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Can mosquitoes or tricks spread the virus that causes covid-19 ?,"At this time, CDC has no data to suggest that this new coronavirus or other similar coronaviruses are spread by mosquitoes or ticks. The main way that COVID-19 spreads is from person to person. See How Coronavirus Spreads for more information.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
How can I protect myself ? ,"There is currently no vaccine to prevent coronavirus disease 2019 (COVID-19).
The best way to prevent illness is to avoid being exposed to this virus.
The virus is thought to spread mainly from person-to-person.
Between people who are in close contact with one another (within about 6 feet).
Through respiratory droplets produced when an infected person coughs, sneezes or talks.
These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs.
Some recent studies have suggested that COVID-19 may be spread by people who are not showing symptoms.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
What should I do if I have had close contact with someone who has covid-19 ?,"If you are sick with COVID-19 or suspect you are infected with the virus that causes COVID-19, you should take steps to help prevent the disease from spreading to people in your home and community.

If you think you have been exposed to COVID-19 and develop a fever and symptoms, such as cough or difficulty breathing, call your healthcare provider for medical advice.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Does CDC recommend using face masks or face coverings to prevent covid-19 ?,"In light of new data about how COVID-19 spreads, along with evidence of widespread COVID-19 illness in communities across the country, CDC recommends that people wear a cloth face covering to cover their nose and mouth in the community setting. This is an additional public health measure people should take to reduce the spread of COVID-19 in addition to (not instead of) social distancing, frequent hand cleaning and other everyday preventive actions. A cloth face covering is not intended to protect the wearer, but may prevent the spread of virus from the wearer to others. This would be especially important in the event that someone is infected but does not have symptoms. A cloth face covering should be worn whenever people must go into public settings (grocery stores, for example). Medical masks and N-95 respirators are reserved for healthcare workers and other first responders, as recommended by current CDC guidance.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Am I at risk for covid-19 from a package or products shipping from China ?,"There is still a lot that is unknown about COVID-19 and how it spreads. This coronaviruses is thought to be spread most often by respiratory droplets. Although the virus can survive for a short period on some surfaces, it is unlikely to be spread from products or packaging that are shipped over a period of days or weeks at ambient temperatures. Currently there is no evidence to support transmission of COVID-19 associated with imported goods and there have not been any cases of COVID-19 in the United States associated with imported goods. Information will be provided on the Coronavirus Disease 2019 (COVID-19) website as it becomes available.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Is it okay for me to donate blood ? ,"caring for patients. The need for donated blood is constant, and blood centers are open and in urgent need of donations. CDC encourages people who are well to continue to donate blood if they are able, even if they are practicing social distancing because of COVID-19. CDC is supporting blood centers by providing recommendations that will keep donors and staff safe. Examples of these recommendations include spacing donor chairs 6 feet apart, thoroughly adhering to environmental cleaning practices, and encouraging donors to make donation appointments ahead of time.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
what is the risk of my child becoming sick with covid-19 ?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. You can learn more about who is at higher risk for severe illness from COVID-19 at People who are at higher risk for severe illness.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
How can I protect my child from covid-19 infection ? ,"You can encourage your child to help stop the spread of COVID-19 by teaching them to do the same things everyone should do to stay healthy.

Avoid close contact with people who are sick.
Stay home when you are sick, except to get medical care.
Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Clean and disinfect frequently touched surfaces and objects (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).
Launder items, including washable plush toys, as appropriate and in accordance with the manufacturer’s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people’s items.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Are the symptoms of covid-19 different in children than in adults ?,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. It’s not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Should children wear masks ? ,"CDC recommends that people wear a cloth face covering their nose and mouth in the community setting during the COVID-19 pandemic, however, children younger than 2 years of age are listed as an exception. Children younger than 2 years should not wear a cloth face covering because of concerns that they might suffocate.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
how do I prepare my children in case of covid-19 outbreak in our community ?,"Outbreaks can be stressful for adults and children. Talk with your children about the outbreak, try to stay calm, and reassure them that they are safe. If appropriate, explain to them that most illness from COVID-19 seems to be mild. Children respond differently to stressful situations than adults. CDC offers resources to help talk with children about COVID-19.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
How can my family and I prepare for Covid-19 ?,"Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community:

Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community.
Plan ways to care for those who might be at greater risk for serious complications, particularly older adults and those with severe chronic medical conditions like heart, lung or kidney disease.
Make sure they have access to several weeks of medications and supplies in case you need to stay home for prolonged periods of time.
Get to know your neighbors and find out if your neighborhood has a website or social media page to stay connected.
Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources.
Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
What steps can my family take to reduce our risk of getting covid-19 ?,"Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have severe chronic medical conditions:

Avoid close contact with people who are sick.
Stay home when you are sick, except to get medical care.
Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Clean and disinfect frequently touched surfaces and objects (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).
Launder items, including washable plush toys, as appropriate and in accordance with the manufacturer’s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people’s items.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
What should I do if someone in my house gets sick  with covid-19 ?,"Most people who get COVID-19 will be able to recover at home. CDC has directions for people who are recovering at home and their caregivers, including:

Stay home when you are sick, except to get medical care.
Use a separate room and bathroom for sick household members (if possible).
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Provide your sick household member with clean disposable facemasks to wear at home, if available, to help prevent spreading COVID-19 to others.
Clean the sick room and bathroom, as needed, to avoid unnecessary contact with the sick person.
Avoid sharing personal items like utensils, food, and drinks.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
How can I prepare for covid-19 at work ? ,"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
Should I use soap and water or hand sanitizer to protect against covid-19 ?,"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol.",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
What cleaning products should I use to protect against covid-19 ?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. ",USA,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
